section,component_type,item,calories,fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbs_g,fiber_g,sugars_g,protein_g,allergens
Toddle House© Omelet Breakfasts,,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat"
Toddle House© Omelet Breakfasts,,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat"
Toddle House© Omelet Breakfasts,option,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat"
Toddle House© Omelet Breakfasts,,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy
Toddle House© Omelet Breakfasts,,Sliced Tomatoes,10,0,0,0,0,0,2,1,2,1,
Toddle House© Omelet Breakfasts,,Fiesta Omelet Breakfast: 2 Egg Fiesta Omelet,380,26,10,1,388,1696,13,1,6,26,"Milk, Egg, Soy"
Toddle House© Omelet Breakfasts,,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat"
Toddle House© Omelet Breakfasts,,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat"
Toddle House© Omelet Breakfasts,,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat"
Toddle House© Omelet Breakfasts,,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat"
Toddle House© Omelet Breakfasts,,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat"
Toddle House© Omelet Breakfasts,option,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat"
Toddle House© Omelet Breakfasts,,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy
Toddle House© Omelet Breakfasts,,Sliced Tomatoes,10,0,0,0,0,0,2,1,2,1,
Build your own Omelet Breakfast,,2 Egg Omelet,180,14,4,1,338,176,2,0,2,12,"Egg, Soy"
Build your own Omelet Breakfast,,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat"
Build your own Omelet Breakfast,,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat"
Build your own Omelet Breakfast,option,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat"
Build your own Omelet Breakfast,,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat"
Build your own Omelet Breakfast,,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat"
Build your own Omelet Breakfast,option,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat"
Build your own Omelet Breakfast,,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy
Build your own Omelet Breakfast,,Sliced Tomatoes,10,0,0,0,0,0,2,1,2,1,
Build your own Omelet Breakfast,,Meats:Bacon,90,8,3,0,20,250,0,0,0,6,
Build your own Omelet Breakfast,,Sausage,130,12,4,0,25,255,1,0,0,5,
Build your own Omelet Breakfast,,Chicken Sausage,90,7,2,0,38,350,0,0,0,7,
Build your own Omelet Breakfast,,Grilled Chicken,130,1,0,0,80,930,2,0,0,29,
Build your own Omelet Breakfast,,Cheesesteak,130,7,3,0,50,300,0,0,0,16,Soy
Build your own Omelet Breakfast,,Sautéed Onions,15,0,0,0,0,0,3,1,1,0,
Build your own Omelet Breakfast,,Melted American Cheese,100,9,5,0,25,500,2,0,1,5,"Milk, Soy"
Build your own Omelet Breakfast,,Hickory Smoked Ham,70,3,1,0,25,630,2,0,1,9,
Build your own Omelet Breakfast,,Grilled Tomatoes,5,0,0,0,0,0,2,0,1,0,
Build your own Omelet Breakfast,,Jalapeno Peppers,10,0,0,0,0,390,2,0,0,0,
Build your own Omelet Breakfast,,Grilled Mushrooms,10,0,0,0,0,140,2,1,1,1,
Build your own Omelet Breakfast,,Grilled Chicken,130,1,0,0,80,930,2,0,0,29,
LUNCH/DINNER HASHBROWN BOWLS,,Cheesesteak Melt Hashbrown Bowl,625,30,13,0,75,1280,63,7,2,27,
LUNCH/DINNER HASHBROWN BOWLS,component,Large Hashbrowns,380,14,5,0,0,480,58,6,0,6,Soy
LUNCH/DINNER HASHBROWN BOWLS,,Cheesesteak,130,7,3,0,50,300,0,0,0,16,Soy
LUNCH/DINNER HASHBROWN BOWLS,,Grilled Onions,15,0,0,0,0,0,3,1,1,0,
LUNCH/DINNER HASHBROWN BOWLS,,American Cheese (2 Slices),100,9,5,0,25,500,2,0,1,5,"Milk, Soy"
LUNCH/DINNER HASHBROWN BOWLS,,Chicken Melt Hashbrown Bowl,625,24,10,0,105,1910,65,7,2,40,
LUNCH/DINNER HASHBROWN BOWLS,component,Large Hashbrowns,380,14,5,0,0,480,58,6,0,6,Soy
LUNCH/DINNER HASHBROWN BOWLS,,Grilled Chicken,130,1,0,0,80,930,2,0,0,29,
LUNCH/DINNER HASHBROWN BOWLS,,Grilled Onions,15,0,0,0,0,0,3,1,1,0,
LUNCH/DINNER HASHBROWN BOWLS,,American Cheese (2 Slices),100,9,5,0,25,500,2,0,1,5,"Milk, Soy"
Chicken Dinner,,Chicken Filet ( 1),130,1,0,0,80,930,2,0,0,29,"Milk, Soy, Wheat"
Chicken Dinner,,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat"
Chicken Dinner,option,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat"
Chicken Dinner,,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat"
Chicken Dinner,,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat"
Chicken Dinner,,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat"
Chicken Dinner,option,Grits,90,3,1,0,0,300,16,1,0,1,"Egg, Milk, Soy, Wheat"
Chicken Dinner,,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy
Chicken Dinner,,Sliced Tomatoes,10,0,0,0,0,0,2,1,2,1,
Meat Lovers Chicken Dinner,,Chicken Filet (2),260,2,0,0,160,1860,4,0,0,58,"Milk, Soy, Wheat"
Meat Lovers Chicken Dinner,,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat"
Meat Lovers Chicken Dinner,,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat"
Meat Lovers Chicken Dinner,option,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat"
Meat Lovers Chicken Dinner,,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat"
Meat Lovers Chicken Dinner,,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat"
Meat Lovers Chicken Dinner,option,Grits,90,3,1,0,0,300,16,1,0,1,"Egg, Milk, Soy, Wheat"
Meat Lovers Chicken Dinner,,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy
Meat Lovers Chicken Dinner,,Sliced Tomatoes,10,0,0,0,0,0,2,1,2,1,
Country Ham Dinner,,Country Ham (1),190,9,3,0,95,2110,1,0,1,25,"Milk, Soy, Wheat"
Country Ham Dinner,,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat"
Country Ham Dinner,,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat"
Country Ham Dinner,option,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat"
Country Ham Dinner,,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat"
Country Ham Dinner,,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat"
Country Ham Dinner,option,Grits,90,3,1,0,0,300,16,1,0,1,"Egg, Milk, Soy, Wheat"
Country Ham Dinner,,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy
Country Ham Dinner,,Sliced Tomatoes,10,0,0,0,0,0,2,1,2,1,
Pork Chop Dinner,,Pork Chops (2),340,14,5,0,140,1040,0,0,0,52,"Milk, Soy, Wheat"
Pork Chop Dinner,,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat"
Pork Chop Dinner,,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat"
Pork Chop Dinner,option,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat"
Pork Chop Dinner,,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat"
Pork Chop Dinner,,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat"
Pork Chop Dinner,option,Grits,90,3,1,0,0,300,16,1,0,1,"Egg, Milk, Soy, Wheat"
Pork Chop Dinner,,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy
Pork Chop Dinner,,Sliced Tomatoes,10,0,0,0,0,0,2,1,2,1,
Meat Lovers Pork Chop Dinner,,Pork Chops (3),510,21,8,0,210,1560,0,0,0,78,"Milk, Soy, Wheat"
Meat Lovers Pork Chop Dinner,,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat"
Meat Lovers Pork Chop Dinner,,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat"
Meat Lovers Pork Chop Dinner,option,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat"
Meat Lovers Pork Chop Dinner,,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat"
Meat Lovers Pork Chop Dinner,,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat"
Meat Lovers Pork Chop Dinner,option,Grits,90,3,1,0,0,300,16,1,0,1,"Egg, Milk, Soy, Wheat"
Meat Lovers Pork Chop Dinner,,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy
Meat Lovers Pork Chop Dinner,,Sliced Tomatoes,10,0,0,0,0,0,2,1,2,1,
T-Bone Dinner,,T-Bone Steak (1),420,29,11,0,115,260,0,0,0,37,"Milk, Soy, Wheat"
T-Bone Dinner,,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat"
T-Bone Dinner,,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat"
T-Bone Dinner,option,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat"
T-Bone Dinner,,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat"
T-Bone Dinner,,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat"
T-Bone Dinner,option,Grits,90,3,1,0,0,300,16,1,0,1,"Egg, Milk, Soy, Wheat"
T-Bone Dinner,,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy
T-Bone Dinner,,Sliced Tomatoes,10,0,0,0,0,0,2,1,2,1,
Delmonico Dinner,,Delmonico Steak (1),300,14,5,1,135,460,0,0,0,41,"Milk, Soy, Wheat"
Delmonico Dinner,,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat"
Delmonico Dinner,,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat"
Delmonico Dinner,option,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat"
Delmonico Dinner,,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat"
Delmonico Dinner,,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat"
Delmonico Dinner,option,Grits,90,3,1,0,0,300,16,1,0,1,"Egg, Milk, Soy, Wheat"
Delmonico Dinner,,Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy
Delmonico Dinner,,Sliced Tomatoes,10,0,0,0,0,0,2,1,2,1,
Texas Melts,,Texas Grilled Chicken Melt,445,12,5,0,105,1810,45,3,6,40,"Milk, Soy, Wheat"
Texas Melts,,Texas Cheesesteak™ Melt,445,18,8,0,75,1180,43,3,6,27,"Milk, Soy, Wheat"
Texas Melts,,Texas Angus Patty Melt,535,28,12,1,85,935,43,3,6,26,"Milk, Soy, Wheat"
Texas Melts,,Add Bacon (2 slices),90,8,3,0,20,250,0,0,0,6,
REGULAR BERT'S CHILI™,,Regular Bert's Chili™ (4 oz),110,4,1,0,10,520,11,4,1,9,"Milk, Soy, Wheat"
REGULAR BERT'S CHILI™,,Large Bert's Chili™ (8 oz),220,7,2,0,20,1040,22,8,2,18,"Milk, Soy, Wheat"
REGULAR BERT'S CHILI™,,Bert's Chili™ as a Topping (2 oz),55,2,1,0,5,260,6,2,1,5,"Milk, Soy, Wheat"
100% Angus Beef Hamburgers,,Angus 1/4 LB Hamburger Deluxe,370,19,7,1,60,295,30,2,5,19,"Milk, Soy, Wheat"
100% Angus Beef Hamburgers,,Angus 1/4 LB Cheeseburger Deluxe,420,23,10,1,73,545,31,2,6,22,"Milk, Soy, Wheat"
100% Angus Beef Hamburgers,,Double Angus 1/4 LB Cheeseburger Deluxe,690,45,19,2,145,850,32,2,6,39,"Milk, Soy, Wheat"
100% Angus Beef Hamburgers,,Angus Patty,220,17,7,1,60,55,0,0,0,15,
100% Angus Beef Hamburgers,,Bun,130,2,0,0,0,240,25,1,3,4,
100% Angus Beef Hamburgers,,Add Bacon (2 slices),90,8,3,0,20,250,0,0,0,6,
Sandwiches,,Grilled Chicken Sandwich Deluxe,280,3,0,0,80,1170,32,2,5,33,"Milk, Soy, Wheat,"
Sandwiches,,Grilled Chicken Bacon Cheese Sandwich Deluxe,420,15,6,0,113,1670,33,2,6,42,"Milk, Soy, Wheat,"
Sandwiches,,Grilled Cheese Sandwich,230,11,5,0,25,760,27,1,4,9,"Milk, Soy, Wheat"
Sandwiches,,Waffle Sandwich (Ham and Cheese on Wheat),270,9,3,0,53,1350,34,4,9,23,"Milk, Soy, Wheat"
Sandwiches,,Ham & Cheese Sandwich (Lettuce & Tomato),285,9,3,0,53,1360,35,1,11,21,"Milk, Soy, Wheat"
Sandwiches,,BLT Sandwich,275,14,5,0,30,635,27,1,4,13,Soy Wheat
Sandwiches,,Texas Bacon Lover's BLT Sandwich (5 bacon slices),435,22,8,0,50,1005,40,2,5,21,"Milk, Soy, Wheat"
Pies,,Regular Slice Southern Pecan Pie,510,26,8,0,65,610,66,1,28,4,"Egg, Milk, Soy, Tree Nuts, Wheat"
Pies,,Small Slice Southern Pecan Pie,255,13,4,0,33,305,33,1,14,2,"Egg, Milk, Soy, Tree Nuts, Wheat"
Pies,,Regular Slice Triple Chocolate Pie,490,25,15,0,63,270,59,1,39,2,"Milk, Soy, Wheat"
Pies,,Small Slice Triple Chocolate Pie,245,13,8,0,31,135,30,1,20,1,"Milk, Soy, Wheat"
Beverages,,Coffee,5,0,0,0,0,0,1,0,0,0,
Beverages,,Dark Roast Coffee,5,0,0,0,0,0,1,0,0,0,
Beverages,,Coffee - Decaf,5,0,0,0,0,0,1,0,0,0,
Beverages,,Coca-Cola®,160,0,0,0,0,35,44,0,44,0,
Beverages,,Diet Coke®,0,0,0,0,0,50,0,0,0,0,
Beverages,,Sprite®,160,0,0,0,0,70,42,0,42,0,
Beverages,,Pibb-Xtra®,150,0,0,0,0,60,42,0,42,0,
Beverages,,Barq's Root Beer®,180,0,0,0,0,75,50,0,50,0,
Beverages,,Hi-C® Fruit Punch,170,0,0,0,0,55,46,0,45,0,
Beverages,,Simply Lemonade,160,0,0,0,0,30,41,0,39,0,
Beverages,,Alice's Iced Tea™ - Unsweet,0,0,0,0,0,0,0,0,0,0,
Beverages,,Alice's Iced Tea™ - Sweet,70,0,0,0,0,0,17,0,17,0,
Beverages,,Alice's Iced Tea-Monade,140,0,0,0,0,0,36,0,35,0,
Beverages,,Simply Orange Juice,160,0,0,0,0,0,37,0,33,2,
Beverages,,Simply Apple Juice,160,0,0,0,0,5,43,0,40,0,
Beverages,,Honest Kids Apple Juice,35,0,0,0,0,15,9,0,8,0,
Beverages,,Regular Milk,130,5,4,0,20,125,13,0,13,9,Milk
Beverages,,Large Milk,250,10,6,0,40,230,24,0,24,16,Milk
Beverages,,Large Chocolate Milk,440,16,10,0,70,360,58,0,54,16,Milk
Beverages,,Regular Chocolate Milk,230,9,5,0,35,190,31,0,29,9,Milk
Beverages,,Hot Tea,5,0,0,0,0,0,0,0,0,0,
